,CaseId,geometry,LATITUDE,LONGITUDE,Priority_Value,DN,days_elapsed,satisfaction_level,no_of_priority_areas,no_of_retail_licenses_vicinity,avg_compliance_percent,days_elapsed_last_inspection,Priority_Value_score,DN_score,days_elapsed_score,satisfaction_level_score,no_of_priority_areas_score,no_of_retail_licenses_vicinity_score,avg_compliance_percent_score,days_elapsed_last_inspection_score,Final_score_Visibility,Final_score_Impact,Total_score,Total_score_classes,OBJECTID,REGION,AMANACODE,AMANAARNAM,AMANAENAME,SHAPE_AREA,SHAPE_LEN,index_right
0,INC-22-08-006622,POINT (692272.6041679367 3428774.132736797),30.976837512,41.013358621,3,10475,77,0,0,63,50.0,365,1.0,0.26,0.08,0.33,0.0,0.16,0.92,0.95,0.8,0.96,100.0,Very high (70%-100%),4235,منطقة الحدود الشمالية,013,أمانة منطقة الحدود الشمالي,Northern Borders Municipality,10.3906589611,23.3590157691,7
1,INC-21-10-083358,POINT (561435.4677410389 2715376.354123083),24.551082258,39.606623185,3,1070,367,0,0,2,50.0,352,1.0,0.01,0.5,0.33,0.0,0.0,0.92,0.91,0.79,0.96,99.07,Very high (70%-100%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
2,INC-21-10-083354,POINT (561439.7379779746 2715393.6622289545),24.5512384,39.6066661,3,1070,367,0,0,2,50.0,352,1.0,0.01,0.5,0.33,0.0,0.0,0.92,0.91,0.79,0.96,99.07,Very high (70%-100%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
3,INC-21-10-140578,POINT (561417.919518633 2715408.1602249984),24.5513702,39.6064513,3,1070,354,0,0,2,50.0,352,1.0,0.01,0.48,0.33,0.0,0.0,0.92,0.91,0.78,0.96,98.29,Very high (70%-100%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
4,INC-21-11-039758,POINT (561441.3326907816 2715394.61143135),24.551246909,39.606681887,3,1070,343,0,0,2,50.0,352,1.0,0.01,0.47,0.33,0.0,0.0,0.92,0.91,0.77,0.96,97.62,Very high (70%-100%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
5,INC-21-11-051471,POINT (561436.777140218 2715394.7330099097),24.551248188,39.606636912,3,1070,341,0,0,2,50.0,352,1.0,0.01,0.47,0.33,0.0,0.0,0.92,0.91,0.77,0.96,97.5,Very high (70%-100%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
6,INC-22-01-012114,POINT (561443.0920014719 2715390.7912989547),24.551212339,39.606699092,3,1070,289,0,0,2,50.0,352,1.0,0.01,0.39,0.33,0.0,0.0,0.92,0.91,0.73,0.96,94.37,Very high (70%-100%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
7,INC-22-01-153975,POINT (561448.4898274516 2715388.5663821483),24.551192031,39.606752292,3,1070,264,0,0,2,50.0,352,1.0,0.01,0.36,0.33,0.0,0.0,0.92,0.91,0.71,0.96,92.86,Very high (70%-100%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
8,INC-22-01-153974,POINT (561438.7106292337 2715388.5233541294),24.551192031,39.606655733,3,1070,264,0,0,2,50.0,352,1.0,0.01,0.36,0.33,0.0,0.0,0.92,0.91,0.71,0.96,92.86,Very high (70%-100%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
9,INC-22-01-153973,POINT (561441.9560651277 2715391.779421998),24.551221308,39.606687919,3,1070,264,0,0,2,50.0,352,1.0,0.01,0.36,0.33,0.0,0.0,0.92,0.91,0.71,0.96,92.86,Very high (70%-100%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
10,INC-22-02-012347,POINT (561422.8735893937 2715410.872377131),24.551394497,39.606500333,3,1070,258,0,0,2,50.0,352,1.0,0.01,0.35,0.33,0.0,0.0,0.92,0.91,0.7,0.96,92.5,Very high (70%-100%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
11,INC-21-11-098528,POINT (583477.8364218087 2363324.9669607054),21.3701244,39.8052035,3,4268,332,0,0,188,50.0,91,1.0,0.08,0.45,0.33,0.0,0.49,0.92,0.24,0.69,0.96,91.56,Very high (70%-100%),4233,منطقة مكة المكرمة,002,أمانة العاصمة المقدسة,Holly Makkah Municipality,1.12215740854,7.62543338561,5
12,INC-21-12-094148,POINT (583488.4773348751 2363310.644674462),21.369994515,39.805305424,3,4268,304,0,0,199,50.0,91,1.0,0.08,0.41,0.33,0.0,0.52,0.92,0.24,0.69,0.96,91.13,Very high (70%-100%),4233,منطقة مكة المكرمة,002,أمانة العاصمة المقدسة,Holly Makkah Municipality,1.12215740854,7.62543338561,5
13,INC-21-10-133297,POINT (561439.7379779746 2715393.6622289545),24.5512384,39.6066661,2,1070,356,0,0,2,50.0,352,0.5,0.01,0.49,0.33,0.0,0.0,0.92,0.91,0.78,0.71,88.98,Very high (70%-100%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
14,INC-22-09-023992,POINT (692247.016081388 3428797.3899969845),30.977051413,41.013095222,2,10475,43,0,0,56,50.0,365,0.5,0.26,0.03,0.33,0.0,0.15,0.92,0.95,0.76,0.71,87.58,Very high (70%-100%),4235,منطقة الحدود الشمالية,013,أمانة منطقة الحدود الشمالي,Northern Borders Municipality,10.3906589611,23.3590157691,7
15,INC-21-12-163242,POINT (403874.57045990543 2663048.46457882),24.076758702,38.054383881,2,12304,295,0,2,17,0.0,0,0.5,0.31,0.4,0.33,1.0,0.03,0.0,0.0,0.96,0.25,86.1,Very high (70%-100%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
16,INC-22-01-022352,POINT (503145.88076902274 2520829.7358402526),22.795025242,39.030650966,2,7255,288,0,0,11,50.0,283,0.5,0.18,0.39,0.33,0.0,0.02,0.92,0.74,0.73,0.71,85.24,Very high (70%-100%),4244,منطقة مكة المكرمة,005,أمانة محافظة جدة,Jeddah Municipality,3.27079065618,26.645802478,16
17,INC-22-05-104449,POINT (559123.2843116159 2705692.3972177175),24.463714496,39.583389415,3,11675,149,0,1,85,17.0,80,1.0,0.29,0.15,0.33,0.5,0.22,0.31,0.21,0.75,0.66,85.12,Very high (70%-100%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
18,INC-22-08-006622,POINT (692272.6041679367 3428774.132736797),30.976837512,41.013358621,3,10475,77,0,0,63,50.0,209,1.0,0.26,0.08,0.33,0.0,0.16,0.92,0.54,0.57,0.96,82.17,Very high (70%-100%),4235,منطقة الحدود الشمالية,013,أمانة منطقة الحدود الشمالي,Northern Borders Municipality,10.3906589611,23.3590157691,7
19,INC-22-09-158641,POINT (901791.5144279222 1845478.3369840726),16.657707807,42.765646744,3,1014,24,0,0,3,50.0,385,1.0,0.01,0.01,0.33,0.0,0.0,0.92,1.0,0.57,0.96,81.46,Very high (70%-100%),4236,منطقة جازان,009,أمانة منطقة جازان,Jazan Municipality,1.08661786204,15.6986550278,8
20,INC-22-07-043398,POINT (561447.1174540842 2715391.8679047856),24.551221902,39.606738885,3,1070,99,0,0,2,50.0,352,1.0,0.01,0.1,0.33,0.0,0.0,0.92,0.91,0.57,0.96,81.42,Very high (70%-100%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
21,INC-22-10-065348,POINT (585684.4377349318 2368774.103686913),21.419249994,39.826762759,2,39881,6,0,0,116,12.59999999999999,87,0.5,1.0,0.0,0.33,0.0,0.3,0.23,0.23,0.84,0.37,81.0,Very high (70%-100%),4233,منطقة مكة المكرمة,002,أمانة العاصمة المقدسة,Holly Makkah Municipality,1.12215740854,7.62543338561,5
22,INC-21-10-025955,POINT (522852.9388385983 2387548.7678524144),21.5907746,39.2207703,1,12238,378,0,0,383,0.0,0,0.0,0.31,0.52,0.33,0.0,1.0,0.0,0.0,1.0,0.0,80.14,Very high (70%-100%),4244,منطقة مكة المكرمة,005,أمانة محافظة جدة,Jeddah Municipality,3.27079065618,26.645802478,16
23,INC-22-02-125304,POINT (1363983.793147841 1951390.5036904986),17.482387116,47.115492469,2,2217,233,0,0,13,50.0,318,0.5,0.04,0.32,0.33,0.0,0.03,0.92,0.83,0.66,0.71,79.93,Very high (70%-100%),4228,منطقة نجران,015,أمانة منطقة نجران,Najran Municipality,12.3017864708,19.4977381596,0
24,INC-21-12-043411,POINT (559103.019686387 2705724.489323706),24.4640051,39.5831908,2,4016,314,0,1,94,17.0,80,0.5,0.08,0.43,0.33,0.5,0.25,0.31,0.21,0.8,0.41,79.36,Very high (70%-100%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
25,INC-22-08-124467,POINT (585387.8840301319 2368839.915206095),21.419858647,39.823904894,2,11279,58,0,0,100,50.0,227,0.5,0.28,0.04,0.33,0.0,0.26,0.92,0.59,0.64,0.71,78.2,Very high (70%-100%),4233,منطقة مكة المكرمة,002,أمانة العاصمة المقدسة,Holly Makkah Municipality,1.12215740854,7.62543338561,5
26,INC-22-08-124467,POINT (585387.8840301319 2368839.915206095),21.419858647,39.823904894,2,11279,58,0,0,100,50.0,219,0.5,0.28,0.04,0.33,0.0,0.26,0.92,0.57,0.63,0.71,77.29,Very high (70%-100%),4233,منطقة مكة المكرمة,002,أمانة العاصمة المقدسة,Holly Makkah Municipality,1.12215740854,7.62543338561,5
27,INC-22-07-001873,POINT (404401.5974103862 2662985.845835414),24.076225155,38.059571989,3,7850,109,0,2,1,0.0,0,1.0,0.2,0.11,0.33,1.0,0.0,0.0,0.0,0.72,0.5,76.32,Very high (70%-100%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
28,INC-21-12-110793,POINT (938019.7344776695 2005568.1774893317),18.094590797,43.136913814,3,388,302,0,0,5,2.333333333333329,314,1.0,0.0,0.41,0.33,0.0,0.01,0.04,0.82,0.68,0.52,74.0,Very high (70%-100%),4240,منطقة عسير,007,أمانة منطقة عسير,Asir Municipality,6.91436708641,14.4887078551,12
29,INC-21-12-110873,POINT (938041.6386645222 2005539.9648918933),18.094332028,43.137114319,3,388,302,0,0,5,2.333333333333329,314,1.0,0.0,0.41,0.33,0.0,0.01,0.04,0.82,0.68,0.52,74.0,Very high (70%-100%),4240,منطقة عسير,007,أمانة منطقة عسير,Asir Municipality,6.91436708641,14.4887078551,12
30,INC-21-12-044571,POINT (559050.9935007669 2705650.618780344),24.463339935,39.58267439,3,4016,314,0,0,139,14.5,96,1.0,0.08,0.43,0.33,0.0,0.36,0.27,0.25,0.61,0.63,72.92,Very high (70%-100%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
31,INC-21-12-044571,POINT (559050.9935007669 2705650.618780344),24.463339935,39.58267439,3,4016,314,0,0,139,17.0,80,1.0,0.08,0.43,0.33,0.0,0.36,0.31,0.21,0.59,0.66,71.96,Very high (70%-100%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
32,INC-21-12-045384,POINT (938375.2694759169 2005246.7225160173),18.091620902,43.140197134,2,1323,313,0,0,25,50.0,198,0.5,0.02,0.43,0.33,0.0,0.07,0.92,0.51,0.56,0.71,71.68,Very high (70%-100%),4240,منطقة عسير,007,أمانة منطقة عسير,Asir Municipality,6.91436708641,14.4887078551,12
33,INC-22-10-063086,POINT (906540.5320055466 1878922.2135534785),16.95854502,42.816120113,2,299,7,0,0,10,50.0,378,0.5,0.0,0.0,0.33,0.0,0.02,0.92,0.98,0.55,0.71,70.83,Very high (70%-100%),4236,منطقة جازان,009,أمانة منطقة جازان,Jazan Municipality,1.08661786204,15.6986550278,8
34,INC-22-02-045480,POINT (938012.2865587608 2005589.398274236),18.094783608,43.1368481,3,388,251,0,0,3,2.333333333333329,314,1.0,0.0,0.34,0.33,0.0,0.0,0.04,0.82,0.64,0.52,70.81,Very high (70%-100%),4240,منطقة عسير,007,أمانة منطقة عسير,Asir Municipality,6.91436708641,14.4887078551,12
35,INC-22-10-058564,POINT (893312.2624430871 1877629.0990898027),16.949164043,42.691911366,2,515,6,0,0,16,50.0,371,0.5,0.01,0.0,0.33,0.0,0.03,0.92,0.96,0.55,0.71,70.73,Very high (70%-100%),4236,منطقة جازان,009,أمانة منطقة جازان,Jazan Municipality,1.08661786204,15.6986550278,8
36,INC-22-04-100791,POINT (938388.9719810737 2005230.6920309416),18.091473613,43.140322901,3,1323,184,0,0,25,50.0,198,1.0,0.02,0.19,0.33,0.0,0.07,0.92,0.51,0.43,0.96,70.56,Very high (70%-100%),4240,منطقة عسير,007,أمانة منطقة عسير,Asir Municipality,6.91436708641,14.4887078551,12
37,INC-21-10-099085,POINT (582521.8195447894 2365138.3445512773),21.3865511,39.7960713,3,3575,363,0,0,34,50.0,49,1.0,0.07,0.5,0.33,0.0,0.09,0.92,0.13,0.43,0.96,70.36,Very high (70%-100%),4233,منطقة مكة المكرمة,002,أمانة العاصمة المقدسة,Holly Makkah Municipality,1.12215740854,7.62543338561,5
38,INC-22-09-023992,POINT (692247.016081388 3428797.3899969845),30.977051413,41.013095222,2,10475,43,0,0,56,50.0,209,0.5,0.26,0.03,0.33,0.0,0.15,0.92,0.54,0.54,0.71,69.75,High (40%-70%),4235,منطقة الحدود الشمالية,013,أمانة منطقة الحدود الشمالي,Northern Borders Municipality,10.3906589611,23.3590157691,7
39,INC-22-01-017002,POINT (558986.9820528658 2705706.151571698),24.4638439,39.5820451,3,4016,288,0,0,118,14.5,96,1.0,0.08,0.39,0.33,0.0,0.31,0.27,0.25,0.56,0.63,68.94,High (40%-70%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
40,INC-22-09-054278,POINT (566748.2744412604 2704337.1058408134),24.451165563,39.658560455,3,1713,39,0,2,30,0.0,0,1.0,0.03,0.03,0.33,1.0,0.08,0.0,0.0,0.62,0.5,68.75,High (40%-70%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
41,INC-22-02-002356,POINT (559013.2489351719 2705714.001877288),24.4639138,39.5823046,3,4016,260,0,0,129,14.5,96,1.0,0.08,0.35,0.33,0.0,0.34,0.27,0.25,0.56,0.63,68.51,High (40%-70%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
42,INC-22-01-017002,POINT (558986.9820528658 2705706.151571698),24.4638439,39.5820451,3,4016,288,0,0,118,17.0,80,1.0,0.08,0.39,0.33,0.0,0.31,0.31,0.21,0.54,0.66,67.98,High (40%-70%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
